,index,Active,Agency,Bill_ID,LongDescription,ShortDescription,ID
40,43,True,House,1167,Concerning fire commissioner compensation.,Fire commissioner comp.,41
41,44,False,House,1168,Supporting student success at community and technical colleges by increasing full-time faculty.,CTC full-time faculty,42
42,46,True,House,1168,Supporting student success at community and technical colleges by increasing full-time faculty.,CTC full-time faculty,43
43,47,False,House,1169,"Enacting the student opportunity, assistance, and relief act.",Student loan assistance,44
44,50,True,House,1182,Addressing civil service qualifications.,Civil service qualifications,45
45,51,False,House,1186,Concerning the provision of and reimbursement for certain court interpreter services.,Court interpreter services,46
46,52,True,House,1186,Concerning the provision of and reimbursement for certain court interpreter services.,Court interpreter services,47
47,53,False,House,1188,Concerning the use of child passenger restraint systems.,Child passenger restraint,48
48,54,False,House,1194,Creating a legislative page scholarship program.,Legislative page scholarship,49
49,55,True,House,1194,Creating a legislative page scholarship program.,Legislative page scholarship,50
50,56,False,House,1196,Modifying the process for prevailing parties to recover judgments in small claims court.,Small claims court judgments,51
51,57,True,House,1196,Modifying the process for prevailing parties to recover judgments in small claims court.,Small claims court judgments,52
52,58,True,House,1221,Concerning the solemnization of marriages by commissioners of courts of limited jurisdiction.,Marriages/lim. juris. courts,53
53,59,False,House,1232,Concerning the timing and content of disclosures by continuing care retirement communities.,Retirement comm. disclosures,54
54,60,True,House,1232,Concerning the timing and content of disclosures by continuing care retirement communities.,Retirement comm. disclosures,55
55,61,False,House,1233,Enabling electric utilities to prepare for the distributed energy future.,Distributed energy,56
56,62,True,House,1267,Creating the wastewater treatment plant operator certification account.,Wastewater operator account,57
57,63,False,House,1280,Including referred and diverted youth in establishing community juvenile accountability program guidelines.,Referred and diverted youth,58
58,65,True,House,1280,Including referred and diverted youth in establishing community juvenile accountability program guidelines.,Referred and diverted youth,59
59,66,False,House,1289,Concerning plaques for certain state-funded capital budget projects.,State-funded projects/plaque,60
60,67,True,House,1289,Concerning plaques for certain state-funded capital budget projects.,State-funded projects/plaque,61
61,68,False,House,1291,Concerning health care for Pacific Islanders residing in Washington under a compact of free association.,Pacific Islander health care,62
62,69,True,House,1291,Concerning health care for Pacific Islanders residing in Washington under a compact of free association.,Pacific Islander health care,63
63,70,False,House,1293,Concerning witnessing a student's college bound scholarship pledge when efforts to obtain a parent's or guardian's signature are unsuccessful.,College bound sch./signature,64
64,72,False,House,1298,Prohibiting employers from asking about arrests or convictions before an applicant is determined otherwise qualified for a position.,"Job applicants/arrests, etc.",65
65,74,True,House,1309,Concerning removal of land from the current use property tax classification due to certain natural disasters.,Natural disaster/tax classif,66
66,75,False,House,1316,Addressing fair dental insurance practices.,Dental insurance practices,67
67,76,True,House,1316,Addressing fair dental insurance practices.,Dental insurance practices,68
68,77,False,House,1319,Concerning the frequency of evaluations for certain educators.,Educators evaluation freq.,69
69,78,True,House,1319,Concerning the frequency of evaluations for certain educators.,Educators evaluation freq.,70
70,79,False,House,1321,"Concerning certain public facilities district's authorization to acquire, construct, own, remodel, maintain, equip, reequip, repair, finance, and operate one or more recreational facilities other than a ski area with voter approval.",Public facilities/recreation,71
71,80,True,House,1321,"Concerning certain public facilities district's authorization to acquire, construct, own, remodel, maintain, equip, reequip, repair, finance, and operate one or more recreational facilities other than a ski area with voter approval.",Public facilities/recreation,72
72,81,False,House,1323,Concerning loss prevention reviews by state agencies.,Loss prevention reviews,73
73,82,True,House,1323,Concerning loss prevention reviews by state agencies.,Loss prevention reviews,74
74,83,False,House,1325,Concerning the evaluation and prioritization of capital budget projects at the public two-year and four-year institutions of higher education.,Capital projects/higher ed.,75
75,85,False,House,1332,Concerning dangerous objects on county roads and bridges.,Dangerous objects on roads,76
76,87,False,House,1333,Requiring establishment of a systemwide credit policy regarding AP exams. (REVISED FOR ENGROSSED: Requiring establishment of an evidence-based credit policy regarding AP exams. ),AP exam credit,77
77,88,True,House,1333,Requiring establishment of a systemwide credit policy regarding AP exams. (REVISED FOR ENGROSSED: Requiring establishment of an evidence-based credit policy regarding AP exams. ),AP exam credit,78
78,89,False,House,1339,Providing for restrictions on prescriptions for opioid drugs.,Opioid drug prescriptions,79
79,90,True,House,1339,Providing for restrictions on prescriptions for opioid drugs.,Opioid drug prescriptions,80
80,91,False,House,1340,Modernizing substance use disorder professional practice.,Sub use disorder prof pract,81
81,92,True,House,1340,Modernizing substance use disorder professional practice.,Sub use disorder prof pract,82
82,93,False,House,1347,Concerning the creation of a countywide port district within a county containing no port districts.,Countywide port district,83
83,94,True,House,1347,Concerning the creation of a countywide port district within a county containing no port districts.,Countywide port district,84
84,95,False,House,1357,Concerning tribal-state relations.,Tribal-state relations,85
85,98,False,House,1359,Concerning notice of charity care availability at time of billing and collection.,Hospital charity care notice,86
86,99,True,House,1359,Concerning notice of charity care availability at time of billing and collection.,Hospital charity care notice,87
87,100,False,House,1371,Modifying the infraction of and penalties for distracted driving.,Distracted driving,88
88,101,True,House,1371,Modifying the infraction of and penalties for distracted driving.,Distracted driving,89
89,102,True,House,1373,"Concerning the means of communication between a buyer or lessee and an auto dealer during the ""bushing"" period.","Auto dealer ""bushing"" period",90
90,103,False,House,1377,Improving students' mental health by enhancing nonacademic professional services.,Student mental health,91
91,105,True,House,1378,Concerning disqualification of judges.,Disqualification of judges,92
92,106,False,House,1384,Concerning sexual assault protection orders.,Sexual assault protect order,93
93,107,True,House,1384,Concerning sexual assault protection orders.,Sexual assault protect order,94
94,108,False,House,1413,Specifying to whom information and records related to mental health services may be disclosed for the purposes of care coordination and treatment.,Mental health record discl.,95
95,109,True,House,1413,Specifying to whom information and records related to mental health services may be disclosed for the purposes of care coordination and treatment.,Mental health record discl.,96
96,110,False,House,1414,Concerning dental health services in tribal settings.,Dental services for tribes,97
97,111,True,House,1414,Concerning dental health services in tribal settings.,Dental services for tribes,98
98,112,False,House,1421,Concerning the removal of payment credentials and other sensitive data from state data networks.,Sensitive data/st. networks,99
99,113,True,House,1421,Concerning the removal of payment credentials and other sensitive data from state data networks.,Sensitive data/st. networks,100
100,114,False,House,1426,Concerning persons and entities to whom the department of health may provide prescription monitoring program data.,Rx monitoring program data,101
101,116,True,House,1426,Concerning persons and entities to whom the department of health may provide prescription monitoring program data.,Rx monitoring program data,102
102,117,False,House,1432,Concerning foundational public health services.,Foundat. public health servs,103
103,118,True,House,1432,Concerning foundational public health services.,Foundat. public health servs,104
104,119,False,House,1433,Decoupling services and activities fees from tuition.,Tuition/activities fees,105
105,121,True,House,1437,Adding a faculty member to the board of regents at the research universities.,Board of regents/faculty,106
106,122,False,House,1440,Establishing a student loan bill of rights.,Student loan bill of rights,107
107,124,True,House,1440,Establishing a student loan bill of rights.,Student loan bill of rights,108
108,125,False,House,1456,Concerning metropolitan park districts.,Metropolitan park districts,109
109,126,True,House,1456,Concerning metropolitan park districts.,Metropolitan park districts,110
110,127,True,House,1468,Concerning voter registration.,Voter registration,111
111,128,True,House,1470,Modifying declaration of candidacy provisions.,Declaration of candidacy,112
112,129,False,House,1472,"Criminalizing damaging, destroying, tampering, or removing ballot return boxes or contents.",Ballot return boxes/crimes,113
113,130,True,House,1472,"Criminalizing damaging, destroying, tampering, or removing ballot return boxes or contents.",Ballot return boxes/crimes,114
114,131,True,House,1476,"Ensuring the ongoing viability of safe, reliable, on-site sewage systems in marine counties by identifying best management practices with accountability in on-site program management plans without creating or newly authorizing a fee or other program funding source.",On-site sewage systems,115
115,132,True,House,1480,Requiring additional criteria to be met for the department of licensing to suspend a driver's license.,Driver's license suspension,116
116,133,False,House,1482,Establishing the legislative-executive WorkFirst poverty reduction oversight task force.,WorkFirst poverty reduction,117
117,136,True,House,1492,Equalizing civil monetary penalties for assisted living facilities with other long-term care providers.,Assisted living/penalties,118
118,137,True,House,1494,Concerning private road maintenance agreements.,Private road maintenance,119
119,138,False,House,1502,Concerning the authorization of and deposit of moneys from department of transportation advertising activities.,DOT advertising activities,120
120,139,True,House,1502,Concerning the authorization of and deposit of moneys from department of transportation advertising activities.,DOT advertising activities,121
121,140,False,House,1506,Addressing workplace practices to achieve gender pay equity.,Workplaces/gender pay equity,122
122,142,False,House,1510,Concerning port district worker development and occupational training programs.,Port district worker dev.,123
123,143,False,House,1512,Expanding college bound scholarship eligibility.,College bound schlrshp elig,124
124,146,False,House,1513,Concerning the collection of youth voter registration sign up information.,Youth voter reg. info.,125
125,148,False,House,1514,Requiring a minimum of three years' notice on closures or conversions of mobile home parks and manufactured housing communities.,Mobile home park closures,126
126,149,True,House,1514,Requiring a minimum of three years' notice on closures or conversions of mobile home parks and manufactured housing communities.,Mobile home park closures,127
127,150,False,House,1532,Concerning the exemption of property taxes for nonprofit homeownership development.,Nonprofit homeownership dev.,128
128,152,False,House,1540,"Providing public notices of public health, safety, and welfare in a language other than English.",Language of public notices,129
129,154,True,House,1540,"Providing public notices of public health, safety, and welfare in a language other than English.",Language of public notices,130
130,155,False,House,1541,Addressing prescription drug cost transparency.,Rx drug cost transparency,131
131,157,True,House,1541,Addressing prescription drug cost transparency.,Rx drug cost transparency,132
132,158,True,House,1551,Creating a competitive equipment assistance grant program to enhance student nutrition in public schools.,Student nutrition/grants,133
133,159,False,House,1558,"Authorizing membership in the Washington public safety employees' retirement system for employees who provide nursing care to, or ensure the custody and safety of, offender, probationary, and patient populations in institutions and centers.",PSERS/offender nursing care,134
134,160,False,House,1559,Granting binding interest arbitration rights to certain uniformed personnel.,Uniformed personnel arbitrat,135
135,161,False,House,1560,"Addressing plan membership default provisions in the public employees' retirement system, the teachers' retirement system, and the school employees' retirement system.",Retirement system defaults,136
136,162,False,House,1562,Continuing the work of the Washington food policy forum.,WA food policy forum,137
137,165,False,House,1566,Concerning the definition of work activity for the purposes of the WorkFirst program.,"WorkFirst, ""work activity""",138
138,166,True,House,1566,Concerning the definition of work activity for the purposes of the WorkFirst program.,"WorkFirst, ""work activity""",139
139,167,False,House,1570,Concerning access to homeless housing and assistance.,Homeless housing & assist.,140
140,169,True,House,1571,Creating a community care and supportive services program for veterans.,Veterans/care & support srv.,141
141,170,True,House,1584,Concerning the sale of software used in the unauthorized interference of ticket sales over the internet.,Ticket sale interference,142
142,171,False,House,1586,Concerning dental professions.,Dental professions,143
143,172,True,House,1586,Concerning dental professions.,Dental professions,144
144,173,True,House,1603,Updating the child support economic table based on recommendations of the child support work group.,Child support economic table,145
145,174,True,House,1606,Requiring transportation benefit districts to hold public hearings prior to imposing fees or charges by a vote of the governing board.,TBD fees & charges/hearings,146
146,175,False,House,1618,Concerning family and community engagement coordinators.,Engagement coordinators,147
147,176,True,House,1618,Concerning family and community engagement coordinators.,Engagement coordinators,148
148,177,True,House,1627,Addressing nonprofit corporation facilities financing by the Washington state housing finance commission.,Nonprofit corp. financing,149
149,178,True,House,1640,Allowing notaries and proof of identity for advance directives.,Advance directives,150
150,179,False,House,1655,Providing industrial insurance coverage for stress-caused mental disorders and disabilities of members of the law enforcement officers' and firefighters' retirement system.,Industrial insurance/stress,151
151,180,True,House,1655,Providing industrial insurance coverage for stress-caused mental disorders and disabilities of members of the law enforcement officers' and firefighters' retirement system.,Industrial insurance/stress,152
152,181,False,House,1656,Establishing a community aviation revitalization loan program.,Aviation revital. loan prg,153
153,182,False,House,1673,Adding training on public works and prevailing wage requirements to responsible bidder criteria.,Responsible bidder criteria,154
154,184,True,House,1674,Establishing the prevailing rate of wage based on collective bargaining agreements or other methods if collective bargaining agreements are not available.,Prevailing rate of wage,155
155,185,False,House,1680,Concerning the sentencing elements worksheet.,Sentencing elements wrksheet,156
156,186,True,House,1680,Concerning the sentencing elements worksheet.,Sentencing elements wrksheet,157
157,187,True,House,1715,Addressing meal and rest breaks and mandatory overtime for certain health care employees.,Health care employees,158
158,188,True,House,1733,Concerning technical college diploma programs.,Tech. college diploma prgs,159
159,189,False,House,1751,Allowing fire protection district annexations and mergers within a reasonable geographic proximity and eliminating cross-county restrictions for annexations to a fire protection district.,Fire district annexations,160
160,190,True,House,1751,Allowing fire protection district annexations and mergers within a reasonable geographic proximity and eliminating cross-county restrictions for annexations to a fire protection district.,Fire district annexations,161
161,191,False,House,1753,Concerning professionals qualified to examine individuals in the mental health and substance use disorder treatment systems.,Mental health professionals,162
162,192,True,House,1753,Concerning professionals qualified to examine individuals in the mental health and substance use disorder treatment systems.,Mental health professionals,163
163,193,False,House,1763,Modifying the property tax exemption for property used to provide housing for eligible persons with developmental disabilities.,Housing/persons w/devel dis.,164
164,194,True,House,1763,Modifying the property tax exemption for property used to provide housing for eligible persons with developmental disabilities.,Housing/persons w/devel dis.,165
165,195,True,House,1772,Increasing the personal needs allowance for persons receiving state-financed care.,Personal needs allowance,166
166,196,False,House,1782,Concerning dental laboratories.,Dental laboratories,167
167,197,True,House,1782,Concerning dental laboratories.,Dental laboratories,168
168,198,False,House,1787,Providing oversight of the state procurement and contracting for information technology goods and services.,IT procurement oversight,169
169,199,True,House,1787,Providing oversight of the state procurement and contracting for information technology goods and services.,IT procurement oversight,170
170,200,False,House,1789,Concerning rehabilitated offenders.,Rehabilitated offenders,171
171,202,True,House,1789,Concerning rehabilitated offenders.,Rehabilitated offenders,172
172,203,False,House,1792,Establishing a fee for certification for the residential services and supports program to cover investigative costs.,Residntl services & supports,173
173,204,True,House,1792,Establishing a fee for certification for the residential services and supports program to cover investigative costs.,Residntl services & supports,174
174,205,True,House,1795,Creating the Cooper Jones bicyclist safety advisory council.,Bicyclist safety council,175
175,206,False,House,1796,Providing reasonable accommodations in the workplace for pregnant women.,Pregnancy accommodations,176
176,207,True,House,1796,Providing reasonable accommodations in the workplace for pregnant women.,Pregnancy accommodations,177
177,208,True,House,1800,Enacting the Washington voting rights act.,Voting rights,178
178,209,True,House,1806,Increasing monetary penalties for crimes committed by corporations.,Crimes by corporations,179
179,210,False,House,1807,Increasing transparency of contributions by creating the Washington state DISCLOSE act of 2017.,Campaign finance disclosure,180
180,211,True,House,1807,Increasing transparency of contributions by creating the Washington state DISCLOSE act of 2017.,Campaign finance disclosure,181
181,212,False,House,1824,Concerning electronic product recycling.,Electronic product recycling,182
182,213,True,House,1824,Concerning electronic product recycling.,Electronic product recycling,183
183,214,False,House,1825,"Extending the timeline for completing a family assessment response, allowing the department of social and health services to complete a family assessment response upon the verbal agreement of a parent to participate, and defining disqualifying crimes.",Family assessment responses,184
184,215,True,House,1825,"Extending the timeline for completing a family assessment response, allowing the department of social and health services to complete a family assessment response upon the verbal agreement of a parent to participate, and defining disqualifying crimes.",Family assessment responses,185
185,216,False,House,1827,"Relating to expanding the current and future educator workforce supply through evidence-based strategies to improve and incentivize the recruitment and retention of highly effective educators, especially in high-need subject, grade-level, and geographic areas, and to establish a cohesive continuum of high quality professional learning from preparation programs to job embedded induction, mentoring, collaboration, and other professional development opportunities.",Educator workforce supply,186
186,219,True,House,1828,"Concerning more efficient use of state facilities through aligning the functions of the department of enterprise services and the office of financial management, collecting additional space use data, and making technical corrections.",State facilities use,187
187,220,False,House,1831,Revising resource limitations for public assistance.,Public assistance/resources,188
188,222,True,House,1833,"Concerning financial reporting by elected and appointed officials, candidates, and appointees.",Financial reporting,189
189,223,True,House,1835,Updating inflationary amounts in campaign finance laws.,Campaign finance/inflation,190
190,224,False,House,1843,Fulfilling the state's paramount duty for all children through equitable and responsible investments in the state's basic education program and reductions to local effort contributions.,Basic education program,191
191,225,True,House,1843,Fulfilling the state's paramount duty for all children through equitable and responsible investments in the state's basic education program and reductions to local effort contributions.,Basic education program,192
192,226,True,House,1844,Concerning attempting to elude a pursuing police vehicle.,Eluding a police vehicle,193
193,227,False,House,1851,Protecting taxpayers by providing for accountability and transparency in government contracting.,Government contracting,194
194,229,True,House,1855,Concerning vehicle identification of electrical contractors.,Electrical contrac. vehicles,195
195,230,True,House,1857,"Addressing provisions concerning marijuana with respect to research licenses, local authority notifications, the retail licensing application process, processor wholesale events, and jurisdictional requirements.",Marijuana provisions,196
196,231,True,House,1858,Increasing marijuana license fees and adding a temporary additional fee on marijuana licenses issued by the Washington state liquor and cannabis board.,Marijuana license fees,197
197,232,True,House,1859,Providing an aggravating circumstance for assault against a utility worker.,Assault of utility worker,198
198,233,True,House,1861,Concerning the University of Washington's alternative process for awarding contracts.,UW altern. contract-awarding,199
199,234,False,House,1884,Modifying who is eligible for relocation assistance for tenants of closed or converted mobile home parks.,Mobile home park tenants,200
200,235,True,House,1884,Modifying who is eligible for relocation assistance for tenants of closed or converted mobile home parks.,Mobile home park tenants,201
201,236,False,House,1893,Concerning the use of credit cards for purchases of spirits and wine by a purchaser licensed to sell spirits and/or wine for consumption on the licensed premises.,Alcohol purchase/credit card,202
202,237,True,House,1893,Concerning the use of credit cards for purchases of spirits and wine by a purchaser licensed to sell spirits and/or wine for consumption on the licensed premises.,Alcohol purchase/credit card,203
203,238,True,House,1913,"Creating a leasehold excise tax exemption for certain leasehold interests in facilities owned or used by schools, colleges, or universities.",Schools/leasehold excise tax,204
204,239,True,House,1927,"Concerning government efficiency by eliminating, revising or decodifying obsolete or inactive statutory provisions that concern the office of financial management.",OFM/obsolete & inactive laws,205
205,240,False,House,1929,Concerning independent security testing of state agencies' information technology systems and infrastructure by the military department.,IT system security testing,206
206,242,True,House,1929,Concerning independent security testing of state agencies' information technology systems and infrastructure by the military department.,IT system security testing,207
207,243,False,House,1930,Concerning child custody.,Child custody,208
208,244,True,House,1930,Concerning child custody.,Child custody,209
209,245,False,House,1953,Addressing maximum penalties under the Washington industrial safety and health act.,WISHA penalties,210
210,246,True,House,1958,Prohibiting the imposition of regional transit authority property taxes on less than a whole parcel.,RTA taxes/whole parcel,211
211,247,False,House,1966,Addressing the minimum operating requirements and the review of plans necessary to be included in the small business retirement marketplace.,Retirement marketplace reqs.,212
212,248,True,House,1966,Addressing the minimum operating requirements and the review of plans necessary to be included in the small business retirement marketplace.,Retirement marketplace reqs.,213
213,249,True,House,1967,Concerning noncompetition agreements.,Noncompetition agreements,214
214,250,False,House,1980,Creating a low-income home rehabilitation revolving loan program.,Home rehabilitation loan prg,215
215,252,True,House,1980,Creating a low-income home rehabilitation revolving loan program.,Home rehabilitation loan prg,216
216,253,False,House,1987,Concerning allowing affordable housing development on religious organization property.,Affordable housing/religious,217
217,255,True,House,1991,Clarifying the county treasurer's administration of payments and costs related to delinquent properties.,Delinquent properties/admin.,218
218,256,False,House,2001,Concerning taxes on in-state broadcasters.,"In-state broadcasters, taxes",219
219,257,False,House,2004,Concerning the retirement age for state guard members.,State guard retirement age,220
220,259,False,House,2006,Providing cities and counties flexibility with existing resources.,Existing resources/local gov,221
221,261,True,House,2007,Making provisions to commemorate the centennial of national women's suffrage.,Women's suffrage centennial,222
222,262,False,House,2021,Authorizing the sale of marijuana plants and seeds to qualifying patients and designated providers.,Marijuana plants and seeds,223
223,263,True,House,2021,Authorizing the sale of marijuana plants and seeds to qualifying patients and designated providers.,Marijuana plants and seeds,224
224,264,False,House,2029,Providing a referral resource for those seeking information and assistance for immigration and citizenship related matters.,Immigration resources,225
225,265,True,House,2029,Providing a referral resource for those seeking information and assistance for immigration and citizenship related matters.,Immigration resources,226
226,266,False,House,2035,Concerning information on civil traffic infractions.,Civil traffic infractions,227
227,267,True,House,2066,Authorizing the creation of regional transportation planning organizations by large counties.,Regional trans planning orgs,228
228,268,True,House,2095,Concerning preliminary work to develop a process for planning for a new Interstate 5 bridge spanning the Columbia river.,I-5 Columbia river bridge,229
229,269,False,House,2098,"Making financial services available to marijuana producers, processors, retailers, qualifying patients, health care professionals, and designated providers as authorized under chapters 69.50 and 69.51A RCW.",Marijuana/financial services,230
230,270,True,House,2107,Concerning the addition of services for long-term placement of mental health patients in community settings that voluntarily contract to provide the services.,Mental health placements,231
231,271,False,House,2114,Protecting consumers from charges for out-of-network health services.,Out-of-network health srvs,232
232,272,True,House,2114,Protecting consumers from charges for out-of-network health services.,Out-of-network health srvs,233
233,273,False,House,2121,Repealing income eligibility for temporary assistance for needy families benefits for a child who lives with a nonparent caregiver. (REVISED FOR ENGROSSED: Revising income eligibility for temporary assistance for needy families benefits for a child who lives with a nonparent caregiver. ),TANF/nonparent caregivers,234
234,274,True,House,2121,Repealing income eligibility for temporary assistance for needy families benefits for a child who lives with a nonparent caregiver. (REVISED FOR ENGROSSED: Revising income eligibility for temporary assistance for needy families benefits for a child who lives with a nonparent caregiver. ),TANF/nonparent caregivers,235
235,275,True,House,2175,Concerning natural resource management activities.,Natural resource management,236
236,276,False,House,2182,Relating to providing a tiered tax on the possession of hazardous substances to provide for the current program's immediate needs and a more stable source of revenue in the future.,Hazardous substance tax T.O.,237
237,277,True,House,2182,Relating to providing a tiered tax on the possession of hazardous substances to provide for the current program's immediate needs and a more stable source of revenue in the future.,Hazardous substance tax T.O.,238
238,278,False,House,2200,Protecting the privacy and security of internet users.,Internet privacy & security,239
239,279,True,House,2200,Protecting the privacy and security of internet users.,Internet privacy & security,240
240,280,True,House,2201,Concerning the collection of a motor vehicle excise tax approved by voters of a regional transit authority in 2016.,MVET collection,241
241,281,True,House,2233,Concerning temporary registration cards for private investigators.,Private investigator cards,242
242,282,True,House,2259,Addressing the state auditor's duties and procedures.,State auditor,243
243,283,False,House,2264,Concerning hospital privileges for advanced registered nurse practitioners and physician assistants.,Hospitals/ARNPs & PAs,244
244,284,True,House,2266,Clarifying the nature of the driver training education curriculum developed and maintained by the department of licensing and the office of the superintendent of public instruction.,Driver training curriculum,245
245,285,False,House,2287,Establishing a criminal justice system diversion center pilot project.,Diversion center pilot proj.,246
246,286,False,House,2288,Concerning the Washington history day program.,History day program,247
247,287,False,House,2289,Concerning the release and commitment of persons involuntarily committed after the dismissal of a felony.,Invol. commitment/felony,248
248,288,False,House,2290,Simplifying the process for donating low-value surplus property owned by a city-owned utility.,City utility surplus,249
249,289,False,House,2291,Concerning the licensure and certification of massage therapists and reflexologists.,Massage therapists/photo,250
250,290,False,House,2295,Encouraging the use of electric or hybrid-electric aircraft for regional air travel.,Electric aircraft,251
251,291,False,House,2296,Protecting consumers from excess charges for prescription medications.,Rx medication charges,252
252,292,False,House,2299,Making supplemental operating appropriations.,Supp. operating budget,253
253,293,True,House,2309,Concerning service contract providers.,Service contract providers,254
254,294,False,House,2311,Reducing barriers to student participation in extracurricular activities.,Extracurricular activities,255
255,295,False,House,2320,Concerning the creation of a work group to study and make recommendations on natural disaster mitigation and resiliency activities.,Natural disaster mitigation,256
256,296,False,House,2327,Concerning appliance efficiency standards.,Appliance efficiency,257
257,297,True,House,2332,Concerning gambling addiction.,Gambling addiction,258
258,298,False,House,2335,Concerning business practices by marijuana retailers that may mislead the public as to the ownership of a retailer.,Marijuana retailer ownership,259
259,299,True,House,2343,"Defining ""willful"" in the chapter regarding abuse of vulnerable adults.","Vulnerable adults/""willful""",260
260,300,True,House,2344,Concerning evacuation of adult family homes.,Adult family home evacuation,261
261,301,True,House,2346,Concerning priority processing for adult family home license applications.,Adult family homes/priority,262
262,302,True,House,2350,Relieving burdens on small businesses by updating the tax return filing thresholds to reflect inflation.,Tax return filing thresholds,263
263,303,False,House,4008,Requesting that the Bonneville Power Administration consider a rate design for the eastern intertie that eliminates or reduces the transmission rate associated with that part of the eastern intertie known as the Montana intertie.,Eastern intertie rate design,264
264,304,True,House,4008,Requesting that the Bonneville Power Administration consider a rate design for the eastern intertie that eliminates or reduces the transmission rate associated with that part of the eastern intertie known as the Montana intertie.,Eastern intertie rate design,265
265,305,True,House,4010,"Requesting that the Blanchard State Forest be renamed the ""Harriet A. Spanel-Blanchard State Forest.""",Blanchard State Forest name,266
266,306,True,House,4011,Requesting that the United States Coast Guard name a Coast Guard cutter in honor of Petty Officer Matthew E. Schlimme.,Petty Officer Schlimme,267
